,sentence1,sentence2,gold_label,sentence1_lex,sentence2_lex
369,There is not a single African walking in the city.,There is not a single person walking in the city.,neutral,african,person
370,There is not a single person walking in the city.,There is not a single adventurer walking in the city.,entailment,person,adventurer
371,There is not a single adventurer walking in the city.,There is not a single person walking in the city.,neutral,adventurer,person
372,There is not a single person walking in the city.,There is not a single groupie walking in the city.,entailment,person,groupie
373,There is not a single groupie walking in the city.,There is not a single person walking in the city.,neutral,groupie,person
374,There is not a single person walking in the city.,There is not a single survivalist walking in the city.,entailment,person,survivalist
375,There is not a single survivalist walking in the city.,There is not a single person walking in the city.,neutral,survivalist,person
376,There is not a single person walking in the city.,There is not a single merchant walking in the city.,entailment,person,merchant
377,There is not a single merchant walking in the city.,There is not a single person walking in the city.,neutral,merchant,person
378,There is not a single person walking in the city.,There is not a single hacker walking in the city.,entailment,person,hacker
379,There is not a single hacker walking in the city.,There is not a single person walking in the city.,neutral,hacker,person
380,There is not a single person walking in the city.,There is not a single philosopher walking in the city.,entailment,person,philosopher
381,There is not a single philosopher walking in the city.,There is not a single person walking in the city.,neutral,philosopher,person
382,There is not a single person walking in the city.,There is not a single aviator walking in the city.,entailment,person,aviator
383,There is not a single aviator walking in the city.,There is not a single person walking in the city.,neutral,aviator,person
384,There is not a single person walking in the city.,There is not a single immigrant walking in the city.,entailment,person,immigrant
385,There is not a single immigrant walking in the city.,There is not a single person walking in the city.,neutral,immigrant,person
386,There is not a single person walking in the city.,There is not a single king walking in the city.,entailment,person,king
387,There is not a single king walking in the city.,There is not a single person walking in the city.,neutral,king,person
388,There is not a single person walking in the city.,There is not a single worshiper walking in the city.,entailment,person,worshiper
389,There is not a single worshiper walking in the city.,There is not a single person walking in the city.,neutral,worshiper,person
390,There is not a single person walking in the city.,There is not a single skydiver walking in the city.,entailment,person,skydiver
391,There is not a single skydiver walking in the city.,There is not a single person walking in the city.,neutral,skydiver,person
392,There is not a single person walking in the city.,There is not a single official walking in the city.,entailment,person,official
393,There is not a single official walking in the city.,There is not a single person walking in the city.,neutral,official,person
394,There is not a single person walking in the city.,There is not a single Romanian walking in the city.,entailment,person,romanian
395,There is not a single Romanian walking in the city.,There is not a single person walking in the city.,neutral,romanian,person
396,There is not a single person walking in the city.,There is not a single photographer walking in the city.,entailment,person,photographer
397,There is not a single photographer walking in the city.,There is not a single person walking in the city.,neutral,photographer,person
398,There is not a single person walking in the city.,There is not a single Belgian walking in the city.,entailment,person,belgian
399,There is not a single Belgian walking in the city.,There is not a single person walking in the city.,neutral,belgian,person
400,There is not a single person walking in the city.,There is not a single athlete walking in the city.,entailment,person,athlete
401,There is not a single athlete walking in the city.,There is not a single person walking in the city.,neutral,athlete,person
402,There is not a single person walking in the city.,There is not a single Democrat walking in the city.,entailment,person,democrat
403,There is not a single Democrat walking in the city.,There is not a single person walking in the city.,neutral,democrat,person
404,There is not a single person walking in the city.,There is not a single Jew walking in the city.,entailment,person,jew
405,There is not a single Jew walking in the city.,There is not a single person walking in the city.,neutral,jew,person
406,There is not a single person walking in the city.,There is not a single adult walking in the city.,entailment,person,adult
407,There is not a single adult walking in the city.,There is not a single person walking in the city.,neutral,adult,person
408,There is not a single person walking in the city.,There is not a single ninja walking in the city.,entailment,person,ninja
409,There is not a single ninja walking in the city.,There is not a single person walking in the city.,neutral,ninja,person
410,There is not a single person walking in the city.,There is not a single billionaire walking in the city.,entailment,person,billionaire
411,There is not a single billionaire walking in the city.,There is not a single person walking in the city.,neutral,billionaire,person
412,There is not a single person walking in the city.,There is not a single child walking in the city.,entailment,person,child
413,There is not a single child walking in the city.,There is not a single person walking in the city.,neutral,child,person
414,There is not a single person walking in the city.,There is not a single amputee walking in the city.,entailment,person,amputee
415,There is not a single amputee walking in the city.,There is not a single person walking in the city.,neutral,amputee,person
416,There is not a single person walking in the city.,There is not a single geologist walking in the city.,entailment,person,geologist
417,There is not a single geologist walking in the city.,There is not a single person walking in the city.,neutral,geologist,person
418,There is not a single person walking in the city.,There is not a single comedian walking in the city.,entailment,person,comedian
419,There is not a single comedian walking in the city.,There is not a single person walking in the city.,neutral,comedian,person
420,There is not a single person walking in the city.,There is not a single stagehand walking in the city.,entailment,person,stagehand
421,There is not a single stagehand walking in the city.,There is not a single person walking in the city.,neutral,stagehand,person
422,There is not a single person walking in the city.,There is not a single cashier walking in the city.,entailment,person,cashier
423,There is not a single cashier walking in the city.,There is not a single person walking in the city.,neutral,cashier,person
424,There is not a single person walking in the city.,There is not a single firefighter walking in the city.,entailment,person,firefighter
425,There is not a single firefighter walking in the city.,There is not a single person walking in the city.,neutral,firefighter,person
426,There is not a single person walking in the city.,There is not a single hunchback walking in the city.,entailment,person,hunchback
427,There is not a single hunchback walking in the city.,There is not a single person walking in the city.,neutral,hunchback,person
428,There is not a single person walking in the city.,There is not a single programmer walking in the city.,entailment,person,programmer
429,There is not a single programmer walking in the city.,There is not a single person walking in the city.,neutral,programmer,person
430,There is not a single person walking in the city.,There is not a single waiter walking in the city.,entailment,person,waiter
431,There is not a single waiter walking in the city.,There is not a single person walking in the city.,neutral,waiter,person
432,There is not a single person walking in the city.,There is not a single bachelor walking in the city.,entailment,person,bachelor
433,There is not a single bachelor walking in the city.,There is not a single person walking in the city.,neutral,bachelor,person
434,There is not a single person walking in the city.,There is not a single hippie walking in the city.,entailment,person,hippie
435,There is not a single hippie walking in the city.,There is not a single person walking in the city.,neutral,hippie,person
436,There is not a single person walking in the city.,There is not a single detective walking in the city.,entailment,person,detective
437,There is not a single detective walking in the city.,There is not a single person walking in the city.,neutral,detective,person
438,There is not a single person walking in the city.,There is not a single cheerleader walking in the city.,entailment,person,cheerleader
439,There is not a single cheerleader walking in the city.,There is not a single person walking in the city.,neutral,cheerleader,person
440,There is not a single person walking in the city.,There is not a single uncle walking in the city.,entailment,person,uncle
441,There is not a single uncle walking in the city.,There is not a single person walking in the city.,neutral,uncle,person
442,There is not a single person walking in the city.,There is not a single homeowner walking in the city.,entailment,person,homeowner
443,There is not a single homeowner walking in the city.,There is not a single person walking in the city.,neutral,homeowner,person
444,There is not a single person walking in the city.,There is not a single stylist walking in the city.,entailment,person,stylist
445,There is not a single stylist walking in the city.,There is not a single person walking in the city.,neutral,stylist,person
446,There is not a single person walking in the city.,There is not a single rabbi walking in the city.,entailment,person,rabbi
447,There is not a single rabbi walking in the city.,There is not a single person walking in the city.,neutral,rabbi,person
448,There is not a single person walking in the city.,There is not a single musher walking in the city.,entailment,person,musher
449,There is not a single musher walking in the city.,There is not a single person walking in the city.,neutral,musher,person
450,There is not a single person walking in the city.,There is not a single veteran walking in the city.,entailment,person,veteran
451,There is not a single veteran walking in the city.,There is not a single person walking in the city.,neutral,veteran,person
452,There is not a single person walking in the city.,There is not a single queen walking in the city.,entailment,person,queen
453,There is not a single queen walking in the city.,There is not a single person walking in the city.,neutral,queen,person
454,There is not a single person walking in the city.,There is not a single missionary walking in the city.,entailment,person,missionary
455,There is not a single missionary walking in the city.,There is not a single person walking in the city.,neutral,missionary,person
456,There is not a single person walking in the city.,There is not a single historian walking in the city.,entailment,person,historian
457,There is not a single historian walking in the city.,There is not a single person walking in the city.,neutral,historian,person
458,There is not a single person walking in the city.,There is not a single parachuter walking in the city.,entailment,person,parachuter
459,There is not a single parachuter walking in the city.,There is not a single person walking in the city.,neutral,parachuter,person
460,There is not a single person walking in the city.,There is not a single prostitute walking in the city.,entailment,person,prostitute
461,There is not a single prostitute walking in the city.,There is not a single person walking in the city.,neutral,prostitute,person
462,There is not a single person walking in the city.,There is not a single cannibal walking in the city.,entailment,person,cannibal
463,There is not a single cannibal walking in the city.,There is not a single person walking in the city.,neutral,cannibal,person
464,There is not a single person walking in the city.,There is not a single swimmer walking in the city.,entailment,person,swimmer
465,There is not a single swimmer walking in the city.,There is not a single person walking in the city.,neutral,swimmer,person
466,There is not a single person walking in the city.,There is not a single hunter walking in the city.,entailment,person,hunter
467,There is not a single hunter walking in the city.,There is not a single person walking in the city.,neutral,hunter,person
468,There is not a single person walking in the city.,There is not a single monk walking in the city.,entailment,person,monk
469,There is not a single monk walking in the city.,There is not a single person walking in the city.,neutral,monk,person
470,There is not a single person walking in the city.,There is not a single banker walking in the city.,entailment,person,banker
471,There is not a single banker walking in the city.,There is not a single person walking in the city.,neutral,banker,person
472,There is not a single person walking in the city.,There is not a single courier walking in the city.,entailment,person,courier
473,There is not a single courier walking in the city.,There is not a single person walking in the city.,neutral,courier,person
474,There is not a single person walking in the city.,There is not a single Scotsman walking in the city.,entailment,person,scotsman
475,There is not a single Scotsman walking in the city.,There is not a single person walking in the city.,neutral,scotsman,person
476,There is not a single person walking in the city.,There is not a single slaver walking in the city.,entailment,person,slaver
477,There is not a single slaver walking in the city.,There is not a single person walking in the city.,neutral,slaver,person
478,There is not a single person walking in the city.,There is not a single Frenchman walking in the city.,entailment,person,frenchman
479,There is not a single Frenchman walking in the city.,There is not a single person walking in the city.,neutral,frenchman,person
480,There is not a single person walking in the city.,There is not a single Republican walking in the city.,entailment,person,republican
481,There is not a single Republican walking in the city.,There is not a single person walking in the city.,neutral,republican,person
482,There is not a single person walking in the city.,There is not a single millionaire walking in the city.,entailment,person,millionaire
483,There is not a single millionaire walking in the city.,There is not a single person walking in the city.,neutral,millionaire,person
484,There is not a single person walking in the city.,There is not a single atheist walking in the city.,entailment,person,atheist
485,There is not a single atheist walking in the city.,There is not a single person walking in the city.,neutral,atheist,person
486,There is not a single person walking in the city.,There is not a single barkeep walking in the city.,entailment,person,barkeep
487,There is not a single barkeep walking in the city.,There is not a single person walking in the city.,neutral,barkeep,person
488,There is not a single person walking in the city.,There is not a single celebrity walking in the city.,entailment,person,celebrity
489,There is not a single celebrity walking in the city.,There is not a single person walking in the city.,neutral,celebrity,person
490,There is not a single person walking in the city.,There is not a single agnostic walking in the city.,entailment,person,agnostic
491,There is not a single agnostic walking in the city.,There is not a single person walking in the city.,neutral,agnostic,person
492,There is not a single person walking in the city.,There is not a single lesbian walking in the city.,entailment,person,lesbian
493,There is not a single lesbian walking in the city.,There is not a single person walking in the city.,neutral,lesbian,person
494,There is not a single person walking in the city.,There is not a single pilgrim walking in the city.,entailment,person,pilgrim
495,There is not a single pilgrim walking in the city.,There is not a single person walking in the city.,neutral,pilgrim,person
496,There is not a single person walking in the city.,There is not a single liberal walking in the city.,entailment,person,liberal
497,There is not a single liberal walking in the city.,There is not a single person walking in the city.,neutral,liberal,person
498,The person did not like fruit.,The person did not like citrus.,entailment,fruit,citrus
499,The person did not like citrus.,The person did not like fruit.,neutral,citrus,fruit
500,The person did not like fruit.,The person did not like raspberries.,entailment,fruit,raspberries
501,The person did not like raspberries.,The person did not like fruit.,neutral,raspberries,fruit
502,The person did not like fruit.,The person did not like limes.,entailment,fruit,limes
503,The person did not like limes.,The person did not like fruit.,neutral,limes,fruit
504,The person did not like fruit.,The person did not like mangos.,entailment,fruit,mangos
505,The person did not like mangos.,The person did not like fruit.,neutral,mangos,fruit
506,The person did not like fruit.,The person did not like melons.,entailment,fruit,melons
507,The person did not like melons.,The person did not like fruit.,neutral,melons,fruit
508,The person did not like fruit.,The person did not like pears.,entailment,fruit,pears
509,The person did not like pears.,The person did not like fruit.,neutral,pears,fruit
510,The person did not like fruit.,The person did not like peaches.,entailment,fruit,peaches
511,The person did not like peaches.,The person did not like fruit.,neutral,peaches,fruit
512,The person did not like fruit.,The person did not like grapes.,entailment,fruit,grapes
513,The person did not like grapes.,The person did not like fruit.,neutral,grapes,fruit
514,The person did not like fruit.,The person did not like plums.,entailment,fruit,plums
515,The person did not like plums.,The person did not like fruit.,neutral,plums,fruit
516,The person did not like fruit.,The person did not like cherries.,entailment,fruit,cherries
517,The person did not like cherries.,The person did not like fruit.,neutral,cherries,fruit
518,The person did not like fruit.,The person did not like oranges.,entailment,fruit,oranges
519,The person did not like oranges.,The person did not like fruit.,neutral,oranges,fruit
520,The person did not like fruit.,The person did not like bananas.,entailment,fruit,bananas
521,The person did not like bananas.,The person did not like fruit.,neutral,bananas,fruit
522,The person did not like fruit.,The person did not like strawberries.,entailment,fruit,strawberries
523,The person did not like strawberries.,The person did not like fruit.,neutral,strawberries,fruit
524,The person did not like fruit.,The person did not like huckleberries.,entailment,fruit,huckleberries
525,The person did not like huckleberries.,The person did not like fruit.,neutral,huckleberries,fruit
526,The person did not like fruit.,The person did not like blueberries.,entailment,fruit,blueberries
527,The person did not like blueberries.,The person did not like fruit.,neutral,blueberries,fruit
528,The person did not like fruit.,The person did not like pineapples.,entailment,fruit,pineapples
529,The person did not like pineapples.,The person did not like fruit.,neutral,pineapples,fruit
530,The person did not like fruit.,The person did not like cantaloupes.,entailment,fruit,cantaloupes
531,The person did not like cantaloupes.,The person did not like fruit.,neutral,cantaloupes,fruit
532,The person did not like fruit.,The person did not like cranberries.,entailment,fruit,cranberries
533,The person did not like cranberries.,The person did not like fruit.,neutral,cranberries,fruit
534,The person did not like fruit.,The person did not like watermelons.,entailment,fruit,watermelons
535,The person did not like watermelons.,The person did not like fruit.,neutral,watermelons,fruit
536,The person did not like fruit.,The person did not like apples.,entailment,fruit,apples
537,The person did not like apples.,The person did not like fruit.,neutral,apples,fruit
538,The person did not like fruit.,The person did not like lemons.,entailment,fruit,lemons
539,The person did not like lemons.,The person did not like fruit.,neutral,lemons,fruit
540,People do not have any machines,People do not have any computers,entailment,machines,computers
541,People do not have any computers,People do not have any machines,neutral,computers,machines
542,People do not have any machines,People do not have any PCs,entailment,machines,pcs
543,People do not have any PCs,People do not have any machines,neutral,pcs,machines
544,People do not have any machines,People do not have any ATMs,entailment,machines,atms
545,People do not have any ATMs,People do not have any machines,neutral,atms,machines
546,People do not have any machines,People do not have any laptops,entailment,machines,laptops
547,People do not have any laptops,People do not have any machines,neutral,laptops,machines
548,People do not have any machines,People do not have any calculators,entailment,machines,calculators
549,People do not have any calculators,People do not have any machines,neutral,calculators,machines
550,People do not have any machines,People do not have any turbines,entailment,machines,turbines
551,People do not have any turbines,People do not have any machines,neutral,turbines,machines
552,People do not have any machines,People do not have any jackhammers,entailment,machines,jackhammers
553,People do not have any jackhammers,People do not have any machines,neutral,jackhammers,machines
554,People do not have any machines,People do not have any jukeboxes,entailment,machines,jukeboxes
555,People do not have any jukeboxes,People do not have any machines,neutral,jukeboxes,machines
556,People do not have any machines,People do not have any generators,entailment,machines,generators
557,People do not have any generators,People do not have any machines,neutral,generators,machines
558,People do not have any machines,People do not have any motors,entailment,machines,motors
559,People do not have any motors,People do not have any machines,neutral,motors,machines
560,People do not have any machines,People do not have any printers,entailment,machines,printers
561,People do not have any printers,People do not have any machines,neutral,printers,machines
562,People do not have any machines,People do not have any treadmills,entailment,machines,treadmills
563,People do not have any treadmills,People do not have any machines,neutral,treadmills,machines
564,People do not have any machines,People do not have any engines,entailment,machines,engines
565,People do not have any engines,People do not have any machines,neutral,engines,machines
566,People do not have any machines,People do not have any typewriters,entailment,machines,typewriters
567,People do not have any typewriters,People do not have any machines,neutral,typewriters,machines
568,A male is not tossing anything,A male is not tossing socks,entailment,anything,socks
569,A male is not tossing socks,A male is not tossing anything,neutral,socks,anything
570,A male is not tossing anything,A male is not tossing packets,entailment,anything,packets
571,A male is not tossing packets,A male is not tossing anything,neutral,packets,anything
572,A male is not tossing anything,A male is not tossing pictures,entailment,anything,pictures
573,A male is not tossing pictures,A male is not tossing anything,neutral,pictures,anything
574,A male is not tossing anything,A male is not tossing blocks,entailment,anything,blocks
575,A male is not tossing blocks,A male is not tossing anything,neutral,blocks,anything
576,A male is not tossing anything,A male is not tossing bulbs,entailment,anything,bulbs
577,A male is not tossing bulbs,A male is not tossing anything,neutral,bulbs,anything
578,A man is not holding anything in his hands.,A man is not holding tongues in his hands.,entailment,anything,tongues
579,A man is not holding tongues in his hands.,A man is not holding anything in his hands.,neutral,tongues,anything
580,A man is not holding anything in his hands.,A man is not holding goods in his hands.,entailment,anything,goods
581,A man is not holding goods in his hands.,A man is not holding anything in his hands.,neutral,goods,anything
582,A man is not holding anything in his hands.,A man is not holding beverages in his hands.,entailment,anything,beverages
583,A man is not holding beverages in his hands.,A man is not holding anything in his hands.,neutral,beverages,anything
584,A man is not holding anything in his hands.,A man is not holding rats in his hands.,entailment,anything,rats
585,A man is not holding rats in his hands.,A man is not holding anything in his hands.,neutral,rats,anything
586,A man is not holding anything in his hands.,A man is not holding machines in his hands.,entailment,anything,machines
587,A man is not holding machines in his hands.,A man is not holding anything in his hands.,neutral,machines,anything
588,A man is not holding anything in his hands.,A man is not holding files in his hands.,entailment,anything,files
589,A man is not holding files in his hands.,A man is not holding anything in his hands.,neutral,files,anything
590,A man is not holding anything in his hands.,A man is not holding records in his hands.,entailment,anything,records
591,A man is not holding records in his hands.,A man is not holding anything in his hands.,neutral,records,anything
592,A man is not holding anything in his hands.,A man is not holding stamps in his hands.,entailment,anything,stamps
593,A man is not holding stamps in his hands.,A man is not holding anything in his hands.,neutral,stamps,anything
594,A man is not holding anything in his hands.,A man is not holding glasses in his hands.,entailment,anything,glasses
595,A man is not holding glasses in his hands.,A man is not holding anything in his hands.,neutral,glasses,anything
596,A man is not holding anything in his hands.,A man is not holding snakes in his hands.,entailment,anything,snakes
597,A man is not holding snakes in his hands.,A man is not holding anything in his hands.,neutral,snakes,anything
598,A man is not holding anything in his hands.,A man is not holding trophies in his hands.,entailment,anything,trophies
599,A man is not holding trophies in his hands.,A man is not holding anything in his hands.,neutral,trophies,anything
600,A man is not holding anything in his hands.,A man is not holding reports in his hands.,entailment,anything,reports
601,A man is not holding reports in his hands.,A man is not holding anything in his hands.,neutral,reports,anything
602,The skier did not notice a large tree dragging behind him.,The skier did not notice a large plant dragging behind him.,neutral,tree,plant
603,The skier did not notice a large plant dragging behind him.,The skier did not notice a large tree dragging behind him.,entailment,plant,tree
604,The skier did not notice a large tree dragging behind him.,The skier did not notice a large fir dragging behind him.,entailment,tree,fir
605,The skier did not notice a large fir dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,fir,tree
606,The skier did not notice a large tree dragging behind him.,The skier did not notice a large dogwood dragging behind him.,entailment,tree,dogwood
607,The skier did not notice a large dogwood dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,dogwood,tree
608,The skier did not notice a large tree dragging behind him.,The skier did not notice a large cedar dragging behind him.,entailment,tree,cedar
609,The skier did not notice a large cedar dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,cedar,tree
610,The skier did not notice a large tree dragging behind him.,The skier did not notice a large magnolia dragging behind him.,entailment,tree,magnolia
611,The skier did not notice a large magnolia dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,magnolia,tree
612,The skier did not notice a large tree dragging behind him.,The skier did not notice a large sycamore dragging behind him.,entailment,tree,sycamore
613,The skier did not notice a large sycamore dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,sycamore,tree
614,The skier did not notice a large tree dragging behind him.,The skier did not notice a large willow dragging behind him.,entailment,tree,willow
615,The skier did not notice a large willow dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,willow,tree
616,The skier did not notice a large tree dragging behind him.,The skier did not notice a large ash dragging behind him.,entailment,tree,ash
617,The skier did not notice a large ash dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,ash,tree
618,The skier did not notice a large tree dragging behind him.,The skier did not notice a large birch dragging behind him.,entailment,tree,birch
619,The skier did not notice a large birch dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,birch,tree
620,The skier did not notice a large tree dragging behind him.,The skier did not notice a large pine dragging behind him.,entailment,tree,pine
621,The skier did not notice a large pine dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,pine,tree
622,The skier did not notice a large tree dragging behind him.,The skier did not notice a large palm dragging behind him.,entailment,tree,palm
623,The skier did not notice a large palm dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,palm,tree
624,The skier did not notice a large tree dragging behind him.,The skier did not notice a large oak dragging behind him.,entailment,tree,oak
625,The skier did not notice a large oak dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,oak,tree
626,The skier did not notice a large tree dragging behind him.,The skier did not notice a large maple dragging behind him.,entailment,tree,maple
627,The skier did not notice a large maple dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,maple,tree
628,The skier did not notice a large tree dragging behind him.,The skier did not notice a large cypress dragging behind him.,entailment,tree,cypress
629,The skier did not notice a large cypress dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,cypress,tree
630,The skier did not notice a large tree dragging behind him.,The skier did not notice a large elm dragging behind him.,entailment,tree,elm
631,The skier did not notice a large elm dragging behind him.,The skier did not notice a large tree dragging behind him.,neutral,elm,tree
632,There is not a man cutting hair in the background.,There is not an adult cutting hair in the background.,neutral,man,adult
633,There is not an adult cutting hair in the background.,There is not a man cutting hair in the background.,entailment,adult,man
634,There is not a man cutting hair in the background.,There is not a person cutting hair in the background.,neutral,man,person
635,There is not a person cutting hair in the background.,There is not a man cutting hair in the background.,entailment,person,man
636,There is not a man cutting hair in the background.,There is not a boyfriend cutting hair in the background.,entailment,man,boyfriend
637,There is not a boyfriend cutting hair in the background.,There is not a man cutting hair in the background.,neutral,boyfriend,man
638,the man is not cutting the fish,the man is not cutting the tuna,entailment,fish,tuna
639,the man is not cutting the tuna,the man is not cutting the fish,neutral,tuna,fish
640,the man is not cutting the fish,the man is not cutting the trout,entailment,fish,trout
641,the man is not cutting the trout,the man is not cutting the fish,neutral,trout,fish
642,the man is not cutting the fish,the man is not cutting the catfish,entailment,fish,catfish
643,the man is not cutting the catfish,the man is not cutting the fish,neutral,catfish,fish
644,the man is not cutting the fish,the man is not cutting the salmon,entailment,fish,salmon
645,the man is not cutting the salmon,the man is not cutting the fish,neutral,salmon,fish
646,the man is not cutting the fish,the man is not cutting the goldfish,entailment,fish,goldfish
647,the man is not cutting the goldfish,the man is not cutting the fish,neutral,goldfish,fish
648,the man is not cutting the fish,the man is not cutting the bass,entailment,fish,bass
649,the man is not cutting the bass,the man is not cutting the fish,neutral,bass,fish
650,the man is not cutting the fish,the man is not cutting the herring,entailment,fish,herring
651,the man is not cutting the herring,the man is not cutting the fish,neutral,herring,fish
652,the man is not cutting the fish,the man is not cutting the marlin,entailment,fish,marlin
653,the man is not cutting the marlin,the man is not cutting the fish,neutral,marlin,fish
654,the man is not cutting the fish,the man is not cutting the swordfish,entailment,fish,swordfish
655,the man is not cutting the swordfish,the man is not cutting the fish,neutral,swordfish,fish
656,The girls are cutting the cake and not letting any man cut it.,The girls are cutting the cake and not letting any adult cut it.,neutral,man,adult
657,The girls are cutting the cake and not letting any adult cut it.,The girls are cutting the cake and not letting any man cut it.,entailment,adult,man
658,The girls are cutting the cake and not letting any man cut it.,The girls are cutting the cake and not letting any bachelor cut it.,entailment,man,bachelor
659,The girls are cutting the cake and not letting any bachelor cut it.,The girls are cutting the cake and not letting any man cut it.,neutral,bachelor,man
660,The girls are cutting the cake and not letting any man cut it.,The girls are cutting the cake and not letting any boyfriend cut it.,entailment,man,boyfriend
661,The girls are cutting the cake and not letting any boyfriend cut it.,The girls are cutting the cake and not letting any man cut it.,neutral,boyfriend,man
662,The girls are cutting the cake and not letting any man cut it.,The girls are cutting the cake and not letting any gent cut it.,entailment,man,gent
663,The girls are cutting the cake and not letting any gent cut it.,The girls are cutting the cake and not letting any man cut it.,neutral,gent,man
664,The girls are cutting the cake and not letting any man cut it.,The girls are cutting the cake and not letting any gentleman cut it.,entailment,man,gentleman
665,The girls are cutting the cake and not letting any gentleman cut it.,The girls are cutting the cake and not letting any man cut it.,neutral,gentleman,man
666,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any adult indoors,neutral,woman,adult
667,The men were outside trying to keep their voices down so as not to waken any adult indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,entailment,adult,woman
668,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any widow indoors,entailment,woman,widow
669,The men were outside trying to keep their voices down so as not to waken any widow indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,widow,woman
670,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any bridesmaid indoors,entailment,woman,bridesmaid
671,The men were outside trying to keep their voices down so as not to waken any bridesmaid indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,bridesmaid,woman
672,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any mistress indoors,entailment,woman,mistress
673,The men were outside trying to keep their voices down so as not to waken any mistress indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,mistress,woman
674,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any maid indoors,entailment,woman,maid
675,The men were outside trying to keep their voices down so as not to waken any maid indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,maid,woman
676,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any bachelorette indoors,entailment,woman,bachelorette
677,The men were outside trying to keep their voices down so as not to waken any bachelorette indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,bachelorette,woman
678,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any ex-wife indoors,entailment,woman,ex-wife
679,The men were outside trying to keep their voices down so as not to waken any ex-wife indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,ex-wife,woman
680,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any housewife indoors,entailment,woman,housewife
681,The men were outside trying to keep their voices down so as not to waken any housewife indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,housewife,woman
682,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any matriarch indoors,entailment,woman,matriarch
683,The men were outside trying to keep their voices down so as not to waken any matriarch indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,matriarch,woman
684,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any girlfriend indoors,entailment,woman,girlfriend
685,The men were outside trying to keep their voices down so as not to waken any girlfriend indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,girlfriend,woman
686,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any dame indoors,entailment,woman,dame
687,The men were outside trying to keep their voices down so as not to waken any dame indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,dame,woman
688,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any lass indoors,entailment,woman,lass
689,The men were outside trying to keep their voices down so as not to waken any lass indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,lass,woman
690,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any wife indoors,entailment,woman,wife
691,The men were outside trying to keep their voices down so as not to waken any wife indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,wife,woman
692,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any sister indoors,entailment,woman,sister
693,The men were outside trying to keep their voices down so as not to waken any sister indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,sister,woman
694,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any granny indoors,entailment,woman,granny
695,The men were outside trying to keep their voices down so as not to waken any granny indoors,The men were outside trying to keep their voices down so as not to waken any woman indoors,neutral,granny,woman
696,The men were outside trying to keep their voices down so as not to waken any woman indoors,The men were outside trying to keep their voices down so as not to waken any mother indoors,entailment,woman,mother
